Date;Min;Max;Avg;Avg II;Dev;Dev %;Rain;DD;DD Sum;Trap1_Count;SumTrap1;Trap2_Count;SumTrap2;Trap3_Count;SumTrap3;Sum
01.01.2006;-5.75;-1.13;-2.22;-3.44;1.22;55.13;3;0;0;;0;;0;;0;0
02.01.2006;-1.88;-1;-1.61;-1.44;0.18;10.97;3.8;0;0;;0;;0;;0;0
03.01.2006;-1.75;0.94;-0.97;-0.41;0.56;58.08;11.7;0;0;;0;;0;;0;0
04.01.2006;-2.31;0.88;-1.45;-0.72;0.73;50.46;5;0;0;;0;;0;;0;0
05.01.2006;-7;-2.5;-4.77;-4.75;0.02;0.37;0;0;0;;0;;0;;0;0
06.01.2006;-6.5;-4.13;-5.14;-5.31;0.18;3.45;0;0;0;;0;;0;;0;0
07.01.2006;-13.88;-3.44;-8.18;-8.66;0.47;5.8;0;0;0;;0;;0;;0;0
08.01.2006;-15.62;-2.94;-10.6;-9.28;1.32;12.43;0;0;0;;0;;0;;0;0
09.01.2006;-13.81;-2.38;-9.26;-8.09;1.17;12.62;0;0;0;;0;;0;;0;0
10.01.2006;-16.13;-5.5;-12;-10.81;1.19;9.91;0;0;0;;0;;0;;0;0
11.01.2006;-13.5;-5.25;-8.92;-9.38;0.46;5.11;0;0;0;;0;;0;;0;0
12.01.2006;-9.88;-3.13;-5.49;-6.5;1.01;18.41;0;0;0;;0;;0;;0;0
13.01.2006;-5.62;-3.31;-4.31;-4.47;0.15;3.57;0;0;0;;0;;0;;0;0
14.01.2006;-8.63;-5.25;-6.65;-6.94;0.29;4.35;0;0;0;;0;;0;;0;0
15.01.2006;-10.62;-7.44;-9.33;-9.03;0.3;3.2;0;0;0;;0;;0;;0;0
16.01.2006;-11.75;-7.56;-10.28;-9.66;0.62;6.03;0;0;0;;0;;0;;0;0
17.01.2006;-14.38;-8.5;-11.29;-11.44;0.14;1.27;0;0;0;;0;;0;;0;0
18.01.2006;-13.94;-7;-9.47;-10.47;1;10.5;0;0;0;;0;;0;;0;0
19.01.2006;-21.62;-9.5;-13.85;-15.56;1.71;12.36;0;0;0;;0;;0;;0;0
20.01.2006;-25.5;-17.56;-20.92;-21.53;0.61;2.91;0;0;0;;0;;0;;0;0
21.01.2006;-20.56;12.56;-11.7;-4;7.7;65.81;3;0;0;;0;;0;;0;0
22.01.2006;-26.62;-13.13;-22.31;-19.87;2.43;10.91;0;0;0;;0;;0;;0;0
23.01.2006;-28.88;-11.25;-23.1;-20.06;3.04;13.16;0;0;0;;0;;0;;0;0
24.01.2006;-28.31;-10.5;-20.95;-19.41;1.55;7.38;0;0;0;;0;;0;;0;0
25.01.2006;-22.31;-7.88;-15.58;-15.09;0.49;3.12;0;0;0;;0;;0;;0;0
